	342
United States	26753
Switzerland	26
Canada	3811
United Arab Erimates	2
placeholder	205
Czech Republic	30
Finland	18
Sweden	210
unknown	689
United Kingdom	83
Brazil	136
Turkmenistan	1
Argentina	27
United States of America	1
France	152
Swaziland	2
China	114
Myanmar	10
Fiji	20
Russia	32
Tonga	34
Phillipines	209
Indonesia	68
Mexico	120
Australia	40
Tahiti	11
Uganda	9
Puerto Rico	40
Estonia	2
Cuba	14
Ecuador	10
Germany	117
Trinidad & Tobago	18
Guam	5
Bermuda	4
Belize	19
Zimbabwe	14
Peru	23
Costa Rica	42
Guatemala	43
Italy	15
Austria	22
Malaysia	20
Latvia	9
Panama	21
Zambia	17
Honduras	36
Singapore	3
Nicaragua	4
New Zealand	4
Cameroon	10
Spain	2
Marshall Islands	9
Paraguay	3
Bolivia	10
Haiti	6
Pakistan	13
Japan	13
Romania	15
Liberia	11
Colombia	13
Belgium	10
Thailand	2
Cook Islands	10
Korea North	1
Great Britain	22
Hawaii	2
Solomon Islands	2
Congo	1
Ukraine	5
Guinea	2
Netherlands	7
New Caledonia	1
Venezuela	4
Jamaica	3
Anguilla	1
Dominica	1
Equatorial Guinea	2
El Salvador	3
India	7
Norway	6
Chile	2
Cote DIvoire	2
Papua New Guinea	6
St Barthelemy	3
Poland	2
Denmark	5
USA	2
Samoa American	2
Tanzania	1
Hong Kong	1
Uraguay	1
Cocos Island	1
Hungary	4
Sri Lanka	3
Slovenia	1
South Africa	1
Palau Island	2
Algeria	1
British Indian Ocean Ter	1
Guyana	1
Iceland	2
Armenia	1
Ireland	1
Sierra Leone	2
Slovakia	1
French Polynesia	1
Kenya	1
